customer_id,visits,avg_spend,avg_drink_ratio,avg_duration,avg_hour,total_revenue,total_profit,cluster
C00001,4,1401.25,0.409975,106.25,21.0,14400.0,8650.0,2
C00003,3,1241.6666666666667,0.3529,63.0,19.0,10330.0,5864.8,1
C00004,3,1058.8999999999999,0.47056666666666674,89.33333333333333,21.333333333333332,8380.0,5007.8,0
C00008,3,1118.8999999999999,0.3192,115.33333333333333,20.333333333333332,7140.0,4049.8,0
C00012,2,859.15,0.43065,95.5,22.0,5860.0,3426.0,0
C00013,2,1185.85,0.44835,124.0,18.0,8350.0,4786.4,0
C00016,2,895.0,0.33215,100.5,20.5,7160.0,3759.0,0
C00018,2,1126.25,0.3992,118.5,21.5,6770.0,3892.2,0
C00019,2,1270.0,0.68085,81.5,22.5,7370.0,4460.8,0
C00020,2,1207.0,0.41169999999999995,101.5,18.5,7720.0,4339.8,0
C00022,3,1111.6666666666667,0.39316666666666666,87.33333333333333,19.666666666666668,6670.0,4179.6,1
C00023,3,1173.8999999999999,0.6281,123.0,20.333333333333332,8110.0,5064.8,0
C00024,2,1125.85,0.46915,113.0,19.0,5850.0,3401.0,0
C00026,3,804.4333333333334,0.49266666666666664,76.0,20.333333333333332,5700.0,3212.4,0
C00027,2,863.35,0.1125,101.0,18.5,3980.0,1903.8000000000002,1
C00028,2,853.35,0.3099,95.5,19.5,6080.0,3461.0,1
C00030,2,1315.0,0.5083,83.0,20.5,9170.0,5336.4,0
C00031,3,803.3333333333334,0.34823333333333334,85.33333333333333,20.666666666666668,6670.0,3810.0,1
C00032,2,940.0,0.47745000000000004,85.0,20.5,4460.0,2697.2,0
C00034,4,938.75,0.46862499999999996,86.25,20.75,9920.0,5476.8,2
C00038,3,918.3333333333334,0.22336666666666663,72.33333333333333,19.666666666666668,6250.0,3322.2,1
C00040,2,774.15,0.3889,103.0,19.5,7010.0,4035.0,1
C00041,2,941.65,0.4321,110.5,22.0,4170.0,2721.0,0
C00043,2,1143.0,0.4086,125.5,20.0,6900.0,4200.0,0
C00044,5,1089.66,0.3512,77.6,20.2,10370.0,6160.0,2
C00046,3,777.7666666666668,0.4071,76.66666666666667,20.666666666666668,4720.0,2539.2,1
C00048,2,1162.5,0.4022,95.5,19.5,4650.0,2948.8,0
C00049,3,1011.6666666666666,0.3409,95.66666666666667,19.333333333333332,13450.0,7245.4,1
C00051,3,774.7333333333332,0.2044,93.33333333333333,19.0,8730.0,4818.6,1
C00054,2,923.35,0.5629,61.5,21.0,4600.0,2646.6,0
C00058,3,1220.5666666666666,0.5411333333333334,132.0,22.0,11210.0,6690.6,0
C00059,5,1022.26,0.37808,96.2,18.8,16020.0,9239.4,2
C00060,3,933.3333333333334,0.3565666666666667,95.0,20.666666666666668,7740.0,4825.6,0
C00061,2,712.1,0.40915,104.5,20.5,4990.0,2663.3999999999996,0
C00063,5,823.6600000000001,0.3496,95.4,20.4,10400.0,6249.6,2
C00064,3,1074.4333333333334,0.3490666666666667,93.0,20.333333333333332,7400.0,4194.0,0
C00065,3,1181.1000000000001,0.6443,105.66666666666667,19.0,8620.0,5272.400000000001,0
C00066,3,580.0,0.32266666666666666,77.66666666666667,18.333333333333332,2640.0,1273.8,1
C00067,3,1235.0,0.2833666666666667,99.33333333333333,19.666666666666668,11250.0,6548.6,1
C00070,4,1207.5,0.4026,91.25,20.5,11560.0,6584.2,2
C00071,9,1012.2555555555555,0.4120333333333333,96.44444444444444,20.333333333333332,27340.0,15618.2,2
C00072,2,905.0,0.44245,96.0,22.0,3620.0,2179.6,0
C00074,3,955.5666666666666,0.30866666666666664,97.0,20.666666666666668,5630.0,3210.6000000000004,0
C00075,4,799.75,0.326175,76.5,20.0,8630.0,4901.6,2
C00076,2,1140.85,0.3317,77.0,18.0,5690.0,3025.3999999999996,1
C00077,2,1202.5,0.48565,129.5,21.0,6390.0,3910.6000000000004,0
C00078,2,930.4,0.42460000000000003,119.0,19.5,6770.0,4026.6,0
C00080,2,703.35,0.3958,105.5,21.0,5640.0,3425.6000000000004,0
C00086,3,875.5666666666666,0.5328,90.0,19.333333333333332,9360.0,5708.8,0
C00089,2,1138.35,0.23185,66.5,19.0,4750.0,2665.0,1
C00090,5,1021.0,0.50618,90.4,20.4,12360.0,7293.6,2
C00091,3,983.3333333333334,0.46946666666666664,86.33333333333333,20.333333333333332,10280.0,6136.2,0
C00092,3,1145.0,0.37293333333333334,96.66666666666667,18.666666666666668,8800.0,4837.0,1
C00093,2,941.65,0.6017,127.0,22.0,4930.0,2836.6000000000004,0
C00096,2,1058.35,0.3657,84.5,20.5,4660.0,2666.4,0
C00100,4,1237.5,0.5768249999999999,108.25,20.5,11990.0,7413.0,2
C00102,2,1095.0,0.39785000000000004,61.5,21.5,4380.0,2620.8,0
C00103,5,987.3399999999999,0.40608000000000005,97.0,19.6,12780.0,7352.6,2
C00104,2,841.65,0.49829999999999997,76.5,20.5,3940.0,2437.4,0
C00106,2,1231.65,0.33635,116.5,21.5,6320.0,3981.2000000000003,0
C00108,3,1373.3333333333333,0.25156666666666666,82.0,18.0,8240.0,4728.200000000001,1
C00110,3,1320.0,0.5686,82.33333333333333,22.666666666666668,5270.0,3468.6,0
C00111,4,914.925,0.35524999999999995,96.25,19.25,13780.0,7701.8,2
C00112,3,1090.0,0.3441,72.0,19.666666666666668,6540.0,3663.0,1
C00113,3,1031.8333333333333,0.5781666666666666,92.0,20.666666666666668,11550.0,6489.0,0
C00114,2,760.0,0.19824999999999998,75.5,19.0,3040.0,1575.0,1
C00117,3,1138.0,0.48710000000000003,115.33333333333333,22.0,9990.0,6310.0,0
C00118,4,1121.675,0.28595,82.25,20.75,6940.0,3919.0,2
C00119,2,1096.65,0.3476,79.0,19.5,5220.0,3031.0,1
C00124,2,1025.0,0.2817,87.5,19.5,4100.0,2399.4,1
C00127,4,1149.375,0.498575,86.0,21.75,17120.0,10553.8,2
C00128,2,752.5,0.6008500000000001,101.0,19.0,3010.0,1823.1999999999998,0
C00129,4,712.925,0.22755,83.0,19.0,5810.0,3194.4,1
C00131,2,1030.0,0.47750000000000004,89.5,20.0,6060.0,3617.2000000000003,0
C00134,2,952.5,0.3913,84.0,20.0,3810.0,2189.4,1
C00138,3,741.0,0.3280666666666667,81.0,19.0,8290.0,4353.0,1
C00139,2,1400.0,0.47805,101.5,21.0,7960.0,4815.4,0
C00140,2,752.5,0.36019999999999996,115.5,21.0,7790.0,4388.4,0
